Order ID,Order Date,Customer Name,Product,Category,Region,Salesperson,Quantity,Unit Price,Total Sales,Cost Price,Profit,Payment Mode,Order Status
ORD0092,19/10/2025,Khushi,Laptop,Electronics,West,Arjun,10,55000,550000,45000,100000,Credit Card,Delivered
ORD0172,13/01/2025,Rohan,Laptop,Electronics,West,Neha,10,55000,550000,45000,100000,UPI,Cancelled
ORD0410,13/12/2025,Muskan,Laptop,Electronics,East,Karan,10,55000,550000,45000,100000,Credit Card,Delivered
ORD0079,11/10/2025,Tanya,Laptop,Electronics,East,Amit,9,55000,495000,45000,90000,UPI,Delivered
ORD0115,18/02/2025,Rahul,Laptop,Electronics,North,Amit,9,55000,495000,45000,90000,Cash,Delivered
ORD0160,29/11/2025,Naina,Laptop,Electronics,South,Karan,7,55000,385000,45000,70000,UPI,Pending
ORD0248,14/09/2025,Abhishek,Laptop,Electronics,East,Arjun,7,55000,385000,45000,70000,Cash,Delivered
ORD0273,05/04/2025,Avni,Laptop,Electronics,South,Anjali,7,55000,385000,45000,70000,UPI,Delivered
ORD0304,09/08/2025,Anjali,Laptop,Electronics,East,Priya,7,55000,385000,45000,70000,UPI,Pending
ORD0442,07/06/2025,Anjali,Laptop,Electronics,South,Rohit,7,55000,385000,45000,70000,UPI,Delivered
ORD0482,18/10/2025,Ayush,Laptop,Electronics,East,Arjun,7,55000,385000,45000,70000,UPI,Delivered
ORD0390,25/10/2025,Dev,Bed,Furniture,North,Rohit,10,30000,300000,23000,70000,Cash,Delivered
ORD0030,04/10/2025,Siddharth,Laptop,Electronics,West,Rahul,5,55000,275000,45000,50000,UPI,Pending
ORD0281,31/03/2025,Krish,Bed,Furniture,West,Neha,9,30000,270000,23000,63000,UPI,Delivered
ORD0150,13/12/2025,Riya,Bed,Furniture,South,Rahul,8,30000,240000,23000,56000,Credit Card,Delivered
ORD0459,23/01/2025,Pooja,Bed,Furniture,East,Neha,8,30000,240000,23000,56000,Cash,Pending
ORD0434,21/01/2025,Manav,Sofa,Furniture,South,Amit,9,25000,225000,19000,54000,Credit Card,Delivered
ORD0300,01/11/2025,Anjali,Laptop,Electronics,West,Anjali,4,55000,220000,45000,40000,UPI,Delivered
ORD0455,11/07/2025,Tanya,Laptop,Electronics,South,Rahul,4,55000,220000,45000,40000,Credit Card,Delivered
ORD0202,20/09/2025,Aisha,Bed,Furniture,South,Priya,7,30000,210000,23000,49000,UPI,Delivered
ORD0082,21/09/2025,Karan,Sofa,Furniture,West,Anjali,8,25000,200000,19000,48000,Credit Card,Delivered
ORD0211,13/07/2025,Nikita,Sofa,Furniture,North,Amit,8,25000,200000,19000,48000,Cash,Pending
ORD0095,01/04/2025,Anjali,Bed,Furniture,North,Neha,6,30000,180000,23000,42000,UPI,Pending
ORD0216,11/01/2025,Vivaan,Bed,Furniture,South,Pooja,6,30000,180000,23000,42000,Cash,Delivered
ORD0331,17/08/2025,Karan,Bed,Furniture,East,Anjali,6,30000,180000,23000,42000,Credit Card,Delivered
ORD0420,26/03/2025,Aditi,Bed,Furniture,North,Rahul,6,30000,180000,23000,42000,Credit Card,Delivered
ORD0422,20/01/2025,Ritika,Bed,Furniture,South,Pooja,6,30000,180000,23000,42000,Credit Card,Delivered
ORD0108,25/06/2025,Reyansh,Laptop,Electronics,South,Amit,3,55000,165000,45000,30000,UPI,Delivered
ORD0237,10/01/2025,Siddharth,Laptop,Electronics,South,Amit,3,55000,165000,45000,30000,Cash,Delivered
ORD0374,09/01/2025,Shruti,Sofa,Furniture,South,Arjun,6,25000,150000,19000,36000,Credit Card,Delivered
ORD0432,22/01/2025,Vihaan,Sofa,Furniture,West,Rohit,6,25000,150000,19000,36000,Cash,Delivered
ORD0435,19/02/2025,Mohit,Bed,Furniture,West,Priya,5,30000,150000,23000,35000,Cash,Delivered
ORD0469,05/04/2025,Khushi,Sofa,Furniture,North,Rahul,6,25000,150000,19000,36000,Cash,Delivered
ORD0475,10/06/2025,Harsh,Sofa,Furniture,South,Rahul,6,25000,150000,19000,36000,Cash,Pending
ORD0052,31/08/2025,Ananya,Sofa,Furniture,East,Karan,5,25000,125000,19000,30000,Cash,Pending
ORD0497,02/03/2025,Saurabh,Sofa,Furniture,North,Rohit,5,25000,125000,19000,30000,UPI,Delivered
ORD0024,20/07/2025,Isha,Office Desk,Furniture,West,Priya,10,12000,120000,9000,30000,UPI,Delivered
ORD0067,21/06/2025,Kavya,Monitor,Electronics,West,Priya,10,12000,120000,9500,25000,UPI,Pending
ORD0112,07/10/2025,Sneha,Bed,Furniture,North,Sneha,4,30000,120000,23000,28000,UPI,Delivered
ORD0134,26/12/2025,Muskan,Bed,Furniture,South,Arjun,4,30000,120000,23000,28000,Cash,Delivered
ORD0152,02/03/2025,Aarav,Monitor,Electronics,North,Arjun,10,12000,120000,9500,25000,Cash,Cancelled
ORD0171,28/03/2025,Vihaan,Bed,Furniture,West,Rahul,4,30000,120000,23000,28000,Credit Card,Cancelled
ORD0232,25/08/2025,Pooja,Office Desk,Furniture,East,Amit,10,12000,120000,9000,30000,Cash,Delivered
ORD0369,02/06/2025,Ananya,Monitor,Electronics,North,Karan,10,12000,120000,9500,25000,Credit Card,Cancelled
ORD0401,19/04/2025,Shruti,Monitor,Electronics,South,Neha,10,12000,120000,9500,25000,Cash,Delivered
ORD0419,17/02/2025,Ananya,Office Desk,Furniture,East,Neha,10,12000,120000,9000,30000,UPI,Cancelled
ORD0428,30/09/2025,Aarav,Monitor,Electronics,North,Neha,10,12000,120000,9500,25000,Cash,Delivered
ORD0357,14/01/2025,Harsh,Laptop,Electronics,North,Sneha,2,55000,110000,45000,20000,Credit Card,Pending
ORD0098,16/09/2025,Shruti,Monitor,Electronics,North,Rohit,9,12000,108000,9500,22500,Credit Card,Pending
ORD0203,02/01/2025,Krish,Monitor,Electronics,West,Sneha,9,12000,108000,9500,22500,Credit Card,Delivered
ORD0227,25/05/2025,Shreya,Monitor,Electronics,North,Amit,9,12000,108000,9500,22500,Credit Card,Delivered
ORD0312,03/03/2025,Shreya,Monitor,Electronics,East,Sneha,9,12000,108000,9500,22500,Cash,Pending
ORD0350,29/07/2025,Nikita,Monitor,Electronics,South,Sneha,9,12000,108000,9500,22500,Credit Card,Delivered
ORD0426,25/05/2025,Riya,Office Desk,Furniture,North,Karan,9,12000,108000,9000,27000,Credit Card,Cancelled
ORD0441,14/05/2025,Ayush,Office Desk,Furniture,North,Anjali,9,12000,108000,9000,27000,UPI,Delivered
ORD0486,16/04/2025,Harsh,Monitor,Electronics,West,Rohit,9,12000,108000,9500,22500,Credit Card,Pending
ORD0302,11/06/2025,Saurabh,Sofa,Furniture,North,Pooja,4,25000,100000,19000,24000,Cash,Delivered
ORD0346,17/02/2025,Pranav,Sofa,Furniture,East,Rahul,4,25000,100000,19000,24000,Credit Card,Pending
ORD0113,08/02/2025,Rohit,Monitor,Electronics,South,Neha,8,12000,96000,9500,20000,Cash,Pending
ORD0393,13/07/2025,Siddharth,Monitor,Electronics,North,Pooja,8,12000,96000,9500,20000,Cash,Delivered
ORD0008,14/02/2025,Ayush,Bed,Furniture,East,Rohit,3,30000,90000,23000,21000,UPI,Pending
ORD0026,12/04/2025,Krish,Bed,Furniture,East,Arjun,3,30000,90000,23000,21000,UPI,Delivered
ORD0081,27/06/2025,Priya,Bed,Furniture,North,Rahul,3,30000,90000,23000,21000,UPI,Cancelled
ORD0117,13/04/2025,Ayush,Bed,Furniture,North,Anjali,3,30000,90000,23000,21000,UPI,Delivered
ORD0498,17/04/2025,Krish,Printer,Electronics,South,Sneha,10,9000,90000,7000,20000,Credit Card,Delivered
ORD0500,07/07/2025,Meera,Bed,Furniture,East,Rahul,3,30000,90000,23000,21000,Cash,Delivered
ORD0071,10/12/2025,Aditya,Monitor,Electronics,East,Karan,7,12000,84000,9500,17500,Credit Card,Pending
ORD0295,02/04/2025,Dev,Office Desk,Furniture,East,Pooja,7,12000,84000,9000,21000,Cash,Pending
ORD0309,10/10/2025,Isha,Office Desk,Furniture,North,Karan,7,12000,84000,9000,21000,Credit Card,Pending
ORD0418,30/01/2025,Ananya,Monitor,Electronics,North,Arjun,7,12000,84000,9500,17500,Cash,Delivered
ORD0436,23/04/2025,Karan,Office Desk,Furniture,North,Rohit,7,12000,84000,9000,21000,Cash,Delivered
ORD0040,18/12/2025,Anjali,Printer,Electronics,South,Neha,9,9000,81000,7000,18000,UPI,Pending
ORD0291,10/03/2025,Ayush,Printer,Electronics,North,Anjali,9,9000,81000,7000,18000,Cash,Pending
ORD0413,19/11/2025,Riya,Office chair,Furniture,South,Rahul,10,8000,80000,6000,20000,UPI,Delivered
ORD0430,28/10/2025,Aman,Office chair,Furniture,South,Pooja,10,8000,80000,6000,20000,Cash,Delivered
ORD0444,14/06/2025,Akash,Office chair,Furniture,East,Anjali,10,8000,80000,6000,20000,Cash,Delivered
ORD0474,14/09/2025,Tanya,Office chair,Furniture,North,Sneha,10,8000,80000,6000,20000,Cash,Delivered
ORD0128,04/10/2025,Ananya,Sofa,Furniture,West,Anjali,3,25000,75000,19000,18000,UPI,Cancelled
ORD0277,01/03/2025,Naina,Sofa,Furniture,South,Karan,3,25000,75000,19000,18000,UPI,Delivered
ORD0305,01/04/2025,Pranav,Sofa,Furniture,East,Arjun,3,25000,75000,19000,18000,Credit Card,Pending
ORD0311,09/10/2025,Kavya,Sofa,Furniture,North,Priya,3,25000,75000,19000,18000,Credit Card,Delivered
ORD0330,09/04/2025,Nikita,Sofa,Furniture,West,Pooja,3,25000,75000,19000,18000,Credit Card,Cancelled
ORD0360,13/09/2025,Diya,Sofa,Furniture,West,Priya,3,25000,75000,19000,18000,Cash,Cancelled
ORD0493,14/11/2025,Ananya,Sofa,Furniture,East,Rahul,3,25000,75000,19000,18000,UPI,Pending
ORD0061,24/08/2025,Avni,Office chair,Furniture,North,Sneha,9,8000,72000,6000,18000,Cash,Cancelled
ORD0078,15/02/2025,Siddharth,Office Desk,Furniture,West,Rahul,6,12000,72000,9000,18000,UPI,Delivered
ORD0138,05/04/2025,Ritika,Office chair,Furniture,East,Anjali,9,8000,72000,6000,18000,UPI,Delivered
ORD0144,23/01/2025,Anjali,Printer,Electronics,East,Priya,8,9000,72000,7000,16000,UPI,Pending
ORD0165,07/09/2025,Akash,Office chair,Furniture,West,Arjun,9,8000,72000,6000,18000,Credit Card,Pending
ORD0209,14/11/2025,Aarav,Printer,Electronics,West,Priya,8,9000,72000,7000,16000,Credit Card,Pending
ORD0226,27/09/2025,Shruti,Office chair,Furniture,North,Karan,9,8000,72000,6000,18000,Credit Card,Pending
ORD0348,23/03/2025,Priya,Office chair,Furniture,West,Karan,9,8000,72000,6000,18000,Credit Card,Delivered
ORD0365,23/10/2025,Dev,Printer,Electronics,South,Rohit,8,9000,72000,7000,16000,Credit Card,Pending
ORD0373,04/12/2025,Pooja,Printer,Electronics,South,Pooja,8,9000,72000,7000,16000,Credit Card,Delivered
ORD0488,22/07/2025,Siddharth,Office chair,Furniture,North,Arjun,9,8000,72000,6000,18000,Credit Card,Delivered
ORD0404,16/10/2025,Shreya,Book Shelf,Furniture,South,Sneha,10,7000,70000,5200,18000,Cash,Delivered
ORD0415,07/07/2025,Aditya,Office chair,Furniture,West,Karan,8,8000,64000,6000,16000,Credit Card,Delivered
ORD0181,26/12/2025,Isha,Book Shelf,Furniture,East,Priya,9,7000,63000,5200,16200,Cash,Cancelled
ORD0193,10/04/2025,Avni,Printer,Electronics,South,Neha,7,9000,63000,7000,14000,Cash,Cancelled
ORD0270,09/09/2025,Yash,Book Shelf,Furniture,East,Neha,9,7000,63000,5200,16200,UPI,Pending
ORD0315,01/01/2025,Nikhil,Book Shelf,Furniture,North,Neha,9,7000,63000,5200,16200,UPI,Delivered
ORD0080,05/08/2025,Rohan,Bed,Furniture,West,Amit,2,30000,60000,23000,14000,Credit Card,Cancelled
ORD0084,02/05/2025,Neha,Bed,Furniture,South,Anjali,2,30000,60000,23000,14000,Cash,Delivered
ORD0089,16/01/2025,Isha,Monitor,Electronics,East,Pooja,5,12000,60000,9500,12500,Cash,Delivered
ORD0205,10/02/2025,Arjun,Bed,Furniture,West,Rahul,2,30000,60000,23000,14000,UPI,Delivered
ORD0325,13/08/2025,Aarav,Monitor,Electronics,West,Rohit,5,12000,60000,9500,12500,Cash,Pending
ORD0342,01/10/2025,Yash,Monitor,Electronics,South,Arjun,5,12000,60000,9500,12500,Cash,Cancelled
ORD0359,13/06/2025,Neha,Monitor,Electronics,West,Rahul,5,12000,60000,9500,12500,UPI,Delivered
ORD0013,05/10/2025,Saurabh,Office chair,Furniture,East,Anjali,7,8000,56000,6000,14000,Cash,Delivered
ORD0068,15/02/2025,Palak,Office chair,Furniture,North,Anjali,7,8000,56000,6000,14000,Cash,Cancelled
ORD0219,02/09/2025,Anjali,Book Shelf,Furniture,North,Anjali,8,7000,56000,5200,14400,Cash,Delivered
ORD0353,02/05/2025,Palak,Book Shelf,Furniture,West,Priya,8,7000,56000,5200,14400,Credit Card,Delivered
ORD0116,24/02/2025,Avni,Laptop,Electronics,West,Rohit,1,55000,55000,45000,10000,Credit Card,Delivered
ORD0157,14/02/2025,Aman,Laptop,Electronics,South,Neha,1,55000,55000,45000,10000,Credit Card,Delivered
ORD0156,06/11/2025,Manav,Sofa,Furniture,South,Karan,2,25000,50000,19000,12000,UPI,Delivered
ORD0317,20/12/2025,Krish,Sofa,Furniture,North,Karan,2,25000,50000,19000,12000,Credit Card,Delivered
ORD0223,24/04/2025,Isha,Book Shelf,Furniture,South,Anjali,7,7000,49000,5200,12600,Credit Card,Pending
ORD0417,15/01/2025,Ayush,Book Shelf,Furniture,West,Rahul,7,7000,49000,5200,12600,Credit Card,Delivered
ORD0093,07/03/2025,Aditya,Monitor,Electronics,West,Karan,4,12000,48000,9500,10000,Credit Card,Delivered
ORD0110,26/12/2025,Aryan,Office chair,Furniture,South,Amit,6,8000,48000,6000,12000,Credit Card,Pending
ORD0126,28/05/2025,Anjali,Monitor,Electronics,South,Rohit,4,12000,48000,9500,10000,UPI,Delivered
ORD0139,07/03/2025,Ananya,Monitor,Electronics,South,Rahul,4,12000,48000,9500,10000,Cash,Delivered
ORD0140,13/03/2025,Neha,Monitor,Electronics,West,Amit,4,12000,48000,9500,10000,Cash,Delivered
ORD0142,30/09/2025,Simran,Monitor,Electronics,South,Pooja,4,12000,48000,9500,10000,UPI,Delivered
ORD0256,07/09/2025,Simran,Office Desk,Furniture,North,Sneha,4,12000,48000,9000,12000,Cash,Cancelled
ORD0261,31/07/2025,Dev,Office Desk,Furniture,South,Neha,4,12000,48000,9000,12000,UPI,Delivered
ORD0266,08/06/2025,Reyansh,Office Desk,Furniture,South,Rahul,4,12000,48000,9000,12000,Cash,Delivered
ORD0268,01/01/2025,Rohan,Office chair,Furniture,East,Rohit,6,8000,48000,6000,12000,UPI,Delivered
ORD0284,14/12/2025,Nikhil,Office Desk,Furniture,West,Rahul,4,12000,48000,9000,12000,Credit Card,Pending
ORD0287,01/07/2025,Priya,Monitor,Electronics,East,Sneha,4,12000,48000,9500,10000,UPI,Pending
ORD0345,02/04/2025,Aditya,Monitor,Electronics,East,Priya,4,12000,48000,9500,10000,Cash,Pending
ORD0396,30/08/2025,Aman,Office chair,Furniture,North,Karan,6,8000,48000,6000,12000,Cash,Delivered
ORD0405,22/07/2025,Ritika,Monitor,Electronics,West,Pooja,4,12000,48000,9500,10000,Cash,Pending
ORD0070,12/03/2025,Diya,Printer,Electronics,East,Pooja,5,9000,45000,7000,10000,Cash,Delivered
ORD0147,27/05/2025,Neha,Printer,Electronics,North,Karan,5,9000,45000,7000,10000,Cash,Delivered
ORD0204,10/09/2025,Palak,Printer,Electronics,North,Karan,5,9000,45000,7000,10000,UPI,Pending
ORD0467,23/04/2025,Arjun,Printer,Electronics,East,Karan,5,9000,45000,7000,10000,UPI,Delivered
ORD0489,20/01/2025,Pranav,Printer,Electronics,East,Pooja,5,9000,45000,7000,10000,Credit Card,Delivered
ORD0398,09/03/2025,Rohit,Book Shelf,Furniture,West,Neha,6,7000,42000,5200,10800,Cash,Cancelled
ORD0039,30/04/2025,Palak,Printer,Electronics,East,Rahul,4,9000,36000,7000,8000,Credit Card,Delivered
ORD0073,10/02/2025,Neha,Office Desk,Furniture,South,Arjun,3,12000,36000,9000,9000,UPI,Delivered
ORD0100,28/03/2025,Pooja,Monitor,Electronics,North,Rahul,3,12000,36000,9500,7500,Credit Card,Pending
ORD0159,31/08/2025,Pooja,Monitor,Electronics,East,Sneha,3,12000,36000,9500,7500,UPI,Delivered
ORD0240,17/06/2025,Avni,Printer,Electronics,East,Anjali,4,9000,36000,7000,8000,Cash,Delivered
ORD0242,06/09/2025,Khushi,Office Desk,Furniture,East,Rahul,3,12000,36000,9000,9000,Credit Card,Delivered
ORD0391,03/09/2025,Aisha,Office Desk,Furniture,North,Pooja,3,12000,36000,9000,9000,Credit Card,Delivered
ORD0429,27/04/2025,Mohit,Office Desk,Furniture,South,Amit,3,12000,36000,9000,9000,Credit Card,Pending
ORD0468,14/07/2025,Sanjana,Office Desk,Furniture,West,Arjun,3,12000,36000,9000,9000,Cash,Cancelled
ORD0207,01/02/2025,Siddharth,Jacket,Clothing,South,Neha,10,3500,35000,2400,11000,Cash,Delivered
ORD0372,01/07/2025,Palak,Book Shelf,Furniture,North,Anjali,5,7000,35000,5200,9000,Cash,Delivered
ORD0385,10/12/2025,Ritika,Book Shelf,Furniture,East,Sneha,5,7000,35000,5200,9000,Cash,Delivered
ORD0421,14/01/2025,Siddharth,Book Shelf,Furniture,East,Arjun,5,7000,35000,5200,9000,Credit Card,Delivered
ORD0487,21/06/2025,Abhishek,Jacket,Clothing,North,Pooja,10,3500,35000,2400,11000,UPI,Pending
ORD0136,08/04/2025,Reyansh,Office chair,Furniture,South,Rahul,4,8000,32000,6000,8000,UPI,Delivered
ORD0184,18/12/2025,Abhishek,Office chair,Furniture,East,Arjun,4,8000,32000,6000,8000,UPI,Delivered
ORD0199,11/08/2025,Diya,Office chair,Furniture,South,Neha,4,8000,32000,6000,8000,UPI,Delivered
ORD0320,02/11/2025,Palak,Office chair,Furniture,East,Sneha,4,8000,32000,6000,8000,UPI,Delivered
ORD0063,08/10/2025,Yash,Jacket,Clothing,North,Priya,9,3500,31500,2400,9900,Cash,Delivered
ORD0306,31/12/2025,Krish,Jacket,Clothing,East,Pooja,9,3500,31500,2400,9900,UPI,Pending
ORD0358,06/04/2025,Ritika,Jacket,Clothing,South,Rohit,9,3500,31500,2400,9900,Cash,Delivered
ORD0222,31/05/2025,Vihaan,Bed,Furniture,West,Sneha,1,30000,30000,23000,7000,Cash,Pending
ORD0262,13/05/2025,Aditya,Bed,Furniture,South,Priya,1,30000,30000,23000,7000,Credit Card,Delivered
ORD0465,29/01/2025,Dev,Bed,Furniture,West,Pooja,1,30000,30000,23000,7000,Cash,Cancelled
ORD0107,18/09/2025,Nikhil,Shoes,Clothing,East,Priya,10,2800,28000,1800,10000,Credit Card,Cancelled
ORD0246,15/02/2025,Avni,Jacket,Clothing,East,Anjali,8,3500,28000,2400,8800,Cash,Delivered
ORD0443,09/08/2025,Siddharth,Book Shelf,Furniture,East,Rahul,4,7000,28000,5200,7200,Credit Card,Delivered
ORD0491,05/06/2025,Vihaan,Jacket,Clothing,West,Pooja,8,3500,28000,2400,8800,UPI,Delivered
ORD0038,24/04/2025,Kavya,Shoes,Clothing,West,Rahul,9,2800,25200,1800,9000,Credit Card,Cancelled
ORD0370,21/07/2025,Diya,Sofa,Furniture,East,Anjali,1,25000,25000,19000,6000,Credit Card,Delivered
ORD0382,30/07/2025,Aditya,Sofa,Furniture,West,Rohit,1,25000,25000,19000,6000,Credit Card,Delivered
ORD0148,18/10/2025,Aditi,Jacket,Clothing,West,Amit,7,3500,24500,2400,7700,Credit Card,Delivered
ORD0402,17/09/2025,Diya,Jacket,Clothing,West,Amit,7,3500,24500,2400,7700,Cash,Pending
ORD0007,28/09/2025,Neha,Office chair,Furniture,East,Arjun,3,8000,24000,6000,6000,Credit Card,Delivered
ORD0027,01/10/2025,Manav,Office Desk,Furniture,South,Karan,2,12000,24000,9000,6000,Cash,Pending
ORD0285,11/02/2025,Nikhil,Office Desk,Furniture,South,Amit,2,12000,24000,9000,6000,Cash,Delivered
ORD0377,22/04/2025,Khushi,Shoes,Clothing,West,Karan,8,2800,22400,1800,8000,Credit Card,Delivered
ORD0395,25/10/2025,Aditi,Shoes,Clothing,West,Priya,8,2800,22400,1800,8000,Credit Card,Pending
ORD0062,10/08/2025,Vihaan,Hoodie,Clothing,West,Amit,10,2200,22000,1400,8000,Credit Card,Cancelled
ORD0120,23/09/2025,Manav,Hoodie,Clothing,East,Rahul,10,2200,22000,1400,8000,Cash,Delivered
ORD0175,27/04/2025,Mohit,Hoodie,Clothing,North,Rahul,10,2200,22000,1400,8000,UPI,Delivered
ORD0254,20/10/2025,Aditya,Hoodie,Clothing,West,Neha,10,2200,22000,1400,8000,Credit Card,Delivered
ORD0499,28/07/2025,Rahul,Hoodie,Clothing,North,Amit,10,2200,22000,1400,8000,Cash,Delivered
ORD0086,16/08/2025,Naina,Jacket,Clothing,South,Pooja,6,3500,21000,2400,6600,Cash,Pending
ORD0094,18/07/2025,Ananya,Jacket,Clothing,East,Pooja,6,3500,21000,2400,6600,UPI,Pending
ORD0269,15/12/2025,Siddharth,Jacket,Clothing,East,Priya,6,3500,21000,2400,6600,Credit Card,Cancelled
ORD0321,01/12/2025,Rohit,Book Shelf,Furniture,East,Rohit,3,7000,21000,5200,5400,Credit Card,Pending
ORD0334,21/04/2025,Manav,Jacket,Clothing,East,Rahul,6,3500,21000,2400,6600,Cash,Delivered
ORD0367,05/10/2025,Priya,Jacket,Clothing,South,Sneha,6,3500,21000,2400,6600,Credit Card,Delivered
ORD0253,31/03/2025,Pranav,Hoodie,Clothing,West,Arjun,9,2200,19800,1400,7200,Credit Card,Delivered
ORD0394,19/01/2025,Mohit,Hoodie,Clothing,East,Pooja,9,2200,19800,1400,7200,UPI,Delivered
ORD0217,13/01/2025,Naina,Shoes,Clothing,East,Rahul,7,2800,19600,1800,7000,UPI,Delivered
ORD0244,13/03/2025,Akash,Shoes,Clothing,West,Arjun,7,2800,19600,1800,7000,Credit Card,Delivered
ORD0409,03/10/2025,Manav,Shoes,Clothing,East,Karan,7,2800,19600,1800,7000,Credit Card,Delivered
ORD0002,01/02/2025,Pooja,Printer,Electronics,East,Karan,2,9000,18000,7000,4000,UPI,Delivered
ORD0025,04/08/2025,Khushi,Jeans,Clothing,East,Pooja,10,1800,18000,1100,7000,UPI,Cancelled
ORD0077,24/08/2025,Arjun,Printer,Electronics,West,Karan,2,9000,18000,7000,4000,Cash,Delivered
ORD0097,21/08/2025,Tanya,Printer,Electronics,West,Rohit,2,9000,18000,7000,4000,Cash,Delivered
ORD0168,28/09/2025,Khushi,Cooking Oil,Grocery,West,Anjali,10,1800,18000,1400,4000,UPI,Delivered
ORD0190,01/08/2025,Aditi,Cooking Oil,Grocery,South,Amit,10,1800,18000,1400,4000,Cash,Cancelled
ORD0264,04/04/2025,Pooja,Printer,Electronics,East,Sneha,2,9000,18000,7000,4000,UPI,Delivered
ORD0341,18/11/2025,Palak,Printer,Electronics,North,Anjali,2,9000,18000,7000,4000,Cash,Delivered
ORD0347,23/11/2025,Anjali,Cooking Oil,Grocery,East,Anjali,10,1800,18000,1400,4000,Cash,Delivered
ORD0440,16/05/2025,Ananya,Cooking Oil,Grocery,East,Rahul,10,1800,18000,1400,4000,Cash,Delivered
ORD0091,05/10/2025,Aisha,Hoodie,Clothing,North,Rahul,8,2200,17600,1400,6400,UPI,Delivered
ORD0433,09/06/2025,Avni,Hoodie,Clothing,North,Karan,8,2200,17600,1400,6400,Credit Card,Delivered
ORD0049,09/12/2025,Muskan,Jacket,Clothing,South,Karan,5,3500,17500,2400,5500,UPI,Pending
ORD0255,24/12/2025,Shreya,Jacket,Clothing,West,Karan,5,3500,17500,2400,5500,UPI,Cancelled
ORD0042,23/04/2025,Anjali,Cooking Oil,Grocery,West,Anjali,9,1800,16200,1400,3600,Cash,Delivered
ORD0054,09/05/2025,Abhishek,Office chair,Furniture,East,Priya,2,8000,16000,6000,4000,Credit Card,Delivered
ORD0066,29/09/2025,Diya,Office chair,Furniture,North,Anjali,2,8000,16000,6000,4000,Credit Card,Delivered
ORD0438,26/05/2025,Rahul,Office chair,Furniture,North,Rahul,2,8000,16000,6000,4000,Cash,Delivered
ORD0461,20/09/2025,Shreya,Office chair,Furniture,North,Amit,2,8000,16000,6000,4000,Credit Card,Pending
ORD0154,13/09/2025,Meera,Hoodie,Clothing,East,Karan,7,2200,15400,1400,5600,Credit Card,Pending
ORD0247,10/11/2025,Abhishek,Hoodie,Clothing,North,Sneha,7,2200,15400,1400,5600,Credit Card,Pending
